"","title","body"
"1","공수처법까지 국회 본회의 자동부의, '패트'전쟁 심화","지난달 29일, 자유한국당의 필리버스터 신청으로 국회 본회의가 무산됐다. 자유한국당이 무제한 토론방식의 필리버스터(합법적 입법저지행위)를 신청하며 20대 마지막 정기..."
"2","국회 들어서는 문희상 의장","고위공직자범죄수사처 설치법안, 검찰·경찰 수사권 조정 등 검찰개혁 법안이 국회 본회의에 자동부의된 3일 문희상 국회의장이 국회로 출근을 하고 있다. [CBS노컷뉴스..."
"3","공수처법 국회 본회의 부의..정국 '일촉즉발'","전담 수사할 '고위공직자범죄수사처 설치 및 운영에 관한 법률'(공수처법) 제정안이 3일 국회 본회의에 자동부의됐다. 검찰과 경찰의 수사권을 조정하는 검찰청법·형사소송..."
"4","공수처법 국회 본희의 자동 부의..'제2의 패트 충돌' 겪나","수사처 설치 및 운영에 관한 법률(공수처법) 제정안이 12월3일 오전 0시를 기점으로 국회 본희의에 자동 부의됐다. 패스트트랙 법안이 모두 본회의 표결 가능한 상태가 됨에..."
"5","조정식 ""한국당, 국정농단→'국회농단'..전대미문 폭거 자행""","[서울=뉴시스] 장세영 기자 = 조정식 더불어민주당 정책위의장이 21일 오전 서울 여의도 국회에서 열린 더불어민주당 정책조정회의에 참석해 모두발언을 하고 있다..."
"6","<포토>생각 많은 문희상 국회의장","가운데 공수처법 등 검찰개혁 법안이 본회의에 자동 부의된 3일 오전 문희상 국회의장이 국회로 출근하고 있다. ⓒ데일리안 박항구 기자 - Copyrights ⓒ (주)데일리안..."
"7","공수처법 국회 본회의 부의...여야 대립 격화","고위공직자범죄수사처 설치 및 운영에 관한 법률'(공수처법) 제정안이 3일 0시를 기해 국회 본회의에 부의됐다.회의에 부쳐졌다는 뜻의 부의(附議)는 소관 상임위원회 심사..."
"8","""국회 마비 유감..민생법안 하나하나가 소중"" [오늘의 브리핑]","김유영 앵커> 수석 보좌관 회의를 주재한 문재인 대통령은 20대 정기국회가 마비사태에 놓였다며, 강한 유감을 표했습니다. 민생 법안 하나 하나가 소중하다며 신속한 법안..."
"9","패스트트랙 법안 자동부의, 국회 출근하는 문희상 의장","고위공직자범죄수사처 설치법안, 검찰·경찰 수사권 조정 등 검찰개혁 법안이 국회 본회의에 자동부의된 3일 문희상 국회의장이 국회로 출근을 하고 있다. [CBS노컷뉴스..."
"10","전북지역 국회의원들, ""국립공공의대법 12월, 2월 재심의 통과 시...","전북지역 국회의원들이 국립공공의대법을 최우선 처리 법안으로 지정 통과시켜야 한다고 주장하고 나섰다. 이용호<U+2024>유성엽의원은 3일 국회에서 기자회견을 열고 ""공공의대법..."
"11","오신환 ""민주당, 살라미 전술 검토? 국회가 소시지냐""","바른미래당 오신환 원내대표가 3일 오전 서울 여의도 국회에서 열린 원내대책회의에서 발언하고 있다. [연합뉴스] 오신환 바른미래당 원내대표는 3일 더불어민주당이 자유..."
"12","[국회M부스] 한국당의 선택은 '필리버스터'..민주당의 카드는?","자유한국당이 지난달 29일 국회 본회의를 앞두고 필리버스터를 꺼내들면서 패스트트랙 정국이 일찍 시작됐습니다. 이날 본회의에는 대부분 이견이 없는 '비쟁점 법안'이..."
"13","문희상 의장 국회 출근","(서울=연합뉴스) 하사헌 기자 = 공수처법 제정안이 국회 본회의에 부의된 3일 문희상 국회의장이 국회로 출근하고 있다. 2019.12.3 toadboy@yna.co.kr <저작권자(c) 연합..."
"14","이재욱 차관 국회생생텃밭과 함께하는 김장나눔 행사 참석","화훼단체협의회 회장, 이재욱 농식품부 차관, 정세균 국회의원, 문희상 국회의장. 2일 국회헌정기념관 앞에서 열린 국회생생텃밭에서 이재욱 농식품부 차관과 문희상 국회..."
"15","김정호 김해乙 국회의원 '가야 역사에 소고(小考)'","기자(=김해)] ""가야의 역사가 제자리를 찾을 때까지 더욱 힘쓰겠습니다."" 김정호 국회의원(김해乙)이 '가야역사문화권 특별법'을 들추어냈다. 지난 2일 국립중앙박물관에서..."
"16","초중고생이 그린 '미래 내 모습' 156점 국회에 전시","폴리텍대학 제공) [서울=뉴시스] 김진아 기자 = 한국폴리텍대학은 3일 서울 영등포구 국회의원회관에서 '제11회 미래내모습그리기대회' 우수작 전시회를 개최했다고 밝혔다..."
"17","공수처법 국회 본회의 부의..수사권 조정안과 함께 패스트트랙 올라","2일 오후 서울 여의도 국회에서 열린 더불어민주당 의원총회에서 이해찬 대표와 이인영 원내대표 등 의원들이 자유한국당을 규탄하는 구호를 외치고 있다. <연합뉴스> 자유..."
"18","김종민 의원 “소방공무원처럼 신뢰받는 국회 만들고 싶다”","김종민 국회의원(충남 논산·계룡·금산, 법제사법위원회)이 11월 30일(토), 논산으로 논산·계룡·금산 소방서 관계자를 초청해 대화의 시간을 가졌다. 이날 자리는 이동우..."
"19","이엠이코리아, '대한민국사회공헌대상' 산업발전부문 국회부의장...","이엠이코리아가 2019 ‘대한민국 사회공헌대상""에서 국회부의장상을 수상했다. 사진=이엠이코리아 이엠이코리아가 2019 ‘대한민국사회공헌대상’에서 사회공헌부문 국회..."
